assists,damages,deaths,denies,duration,hero_id,isRadiant,is_win,kda,kills,last_hits,match_id,radiant_win
4,10884,9,15,1561,64,false,false,0,2,126,3220579476,true
17,22838,11,7,2521,17,true,false,1,6,336,3220646017,false
7,14649,14,4,1914,65,false,false,0,4,98,3220731227,true
24,50215,15,4,2700,14,true,true,2,22,96,3222378985,true
4,15771,5,2,1954,106,false,false,2,8,249,3222623068,true
7,23435,6,4,2457,25,false,false,2,13,423,3222718936,true
5,25629,3,12,2101,25,false,true,5,16,381,3222897145,false
2,6385,5,7,1466,8,false,false,1,4,153,3222833066,true
10,16069,6,15,2258,99,true,false,2,4,227,3222979455,false
16,56779,7,8,2938,39,false,true,5,24,360,3223047542,false
25,32440,5,11,2986,46,false,true,7,17,386,3224159152,false
19,37496,1,18,2437,13,false,true,19,19,333,3224299083,false
17,34482,4,13,2381,39,true,false,6,14,288,3224393980,false
14,36160,4,17,2528,52,false,true,6,20,419,3224500660,false
9,36115,4,19,2361,18,true,true,4,14,324,3224630315,true
15,16667,2,11,1571,49,false,true,8,9,164,3224808100,false
12,40170,3,8,2704,18,true,true,7,16,354,3224894006,true
4,21531,14,15,2011,39,true,false,0,10,162,3225023089,false
16,36351,9,1,2198,106,false,false,2,10,231,3225126807,true
6,11941,3,14,1653,74,false,false,3,6,181,3225213705,true
11,39420,6,9,2854,13,false,false,4,22,303,3226563428,true
1,6127,8,9,929,75,false,false,0,1,47,3226678557,true
8,25597,8,7,2177,74,true,false,1,5,282,3226733370,false
6,16111,7,17,1670,25,false,false,1,4,216,3226848852,true
11,11384,6,5,1851,16,true,false,1,1,123,3226929172,false
17,23871,1,1,2154,17,false,true,15,13,267,3228788336,false
6,45579,4,13,3070,25,false,false,2,8,568,3228887449,true
8,21979,2,26,1989,15,true,true,7,13,272,3229004731,true
17,49852,5,11,3169,18,false,true,6,24,489,3229080644,false
9,12853,2,22,1898,70,false,false,4,5,153,3229179552,true
12,22702,2,21,2497,63,true,false,6,8,309,3229239416,false
11,11013,1,19,1370,18,true,true,8,6,170,3230734212,true
13,40279,7,2,3158,99,true,false,2,5,489,3230816000,false
25,59001,11,13,3238,43,false,true,2,8,253,3231018162,false
14,34503,1,26,1885,76,true,true,14,15,268,3231123666,true
12,23204,10,5,2450,49,true,true,1,6,223,3231184207,true
7,30953,2,22,2475,11,false,false,7,16,348,3232822543,true
9,10418,4,12,1980,49,true,false,2,4,196,3232926159,false
16,32760,9,11,2646,15,true,true,2,12,283,3233029041,true
5,19575,5,19,2161,39,false,false,2,9,215,3235341639,true
9,19487,9,18,2324,25,true,false,1,1,325,3235815013,false
4,13215,7,38,1754,11,false,false,0,2,231,3239050242,true
10,15004,3,13,2492,18,true,true,4,9,415,3239155407,true
13,25767,2,29,1881,4,false,true,9,15,151,3239281035,false
28,35699,3,11,2473,13,false,true,10,13,241,3241240644,false
6,22287,5,3,1855,99,false,false,1,3,234,3241381673,true
13,24457,7,10,2269,15,true,false,2,9,165,3242002414,false
2,6990,9,7,1648,18,false,false,0,2,128,3242097162,true
14,33002,3,29,1652,46,false,true,9,22,220,3242169312,false
12,31414,3,11,1990,39,false,true,8,22,233,3243990188,false
15,70965,6,16,3372,39,true,false,5,21,443,3244196636,false
11,34420,8,19,2428,74,true,true,3,16,235,3244358682,true
10,68975,6,30,3059,34,false,false,3,17,408,3244471156,true
21,44525,2,10,2354,40,false,true,8,5,300,3249764299,false
1,14427,6,6,2036,18,false,false,0,5,265,3249909565,true
10,16047,6,21,2361,15,true,false,2,4,254,3250608521,false
9,31087,7,11,2577,40,false,false,2,9,289,3250773538,true
17,16240,2,11,1352,40,true,true,8,7,133,3251940945,true
5,9054,3,17,2153,18,false,false,2,6,306,3252000365,true
10,21543,5,26,2746,20,false,false,3,8,216,3252088490,true
8,22605,1,14,1848,9,true,true,14,21,203,3255807959,true
20,30666,7,19,2038,52,true,true,4,15,241,3255901752,true
